City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Palana,RU,2022-01-20 22:45:08,59.1167,159.9667,-1.1,90,4,6.58
68,Petropavlovsk-Kamchatskiy,RU,2022-01-20 22:45:09,53.0452,158.6483,25.39,54,75,11.18
69,Portland,US,2022-01-20 22:42:21,45.5234,-122.6762,59.04,81,40,1.01
70,Cherskiy,RU,2022-01-20 22:45:09,68.75,161.3,-38.45,99,21,1.1
71,Port Alfred,ZA,2022-01-20 22:45:10,-33.5906,26.891,70.29,88,27,19.04
72,East London,ZA,2022-01-20 22:43:28,-33.0153,27.9116,73.42,90,34,12.97
73,College,US,2022-01-20 22:45:11,64.8569,-147.8028,0.59,78,20,6.91
74,Nikolskoye,RU,2022-01-20 22:45:12,59.7035,30.7861,30.09,96,73,5.88
75,Shorapur,IN,2022-01-20 22:45:12,16.5167,76.75,68.2,42,61,5.19
76,Tocopilla,CL,2022-01-20 22:45:13,-22.092,-70.1979,71.17,78,56,10.89
77,Anchorage,US,2022-01-20 22:45:14,61.2181,-149.9003,28.27,92,100,4.0
78,Borgarnes,IS,2022-01-20 22:45:14,64.5383,-21.9206,46.81,97,86,10.67
79,Namibe,AO,2022-01-20 22:45:14,-15.1961,12.1522,70.38,83,100,6.53
80,Ternate,ID,2022-01-20 22:45:15,0.8,127.4,80.24,79,100,4.09
81,Sterling,US,2022-01-20 22:45:15,39.0062,-77.4286,35.46,59,75,14.97
82,Bethel,US,2022-01-20 22:45:15,41.3712,-73.414,31.57,60,0,9.22
83,Ornskoldsvik,SE,2022-01-20 22:45:16,63.2909,18.7153,30.02,64,33,19.57
84,Banepa,NP,2022-01-20 22:45:16,27.6298,85.5214,44.92,93,75,0.0
85,Turukhansk,RU,2022-01-20 22:45:16,65.8167,87.9833,6.04,94,100,16.33
86,Udachnyy,RU,2022-01-20 22:45:17,66.4167,112.4,-16.49,99,63,5.91
87,Fairbanks,US,2022-01-20 22:45:17,64.8378,-147.7164,0.61,79,20,4.61
88,Chokurdakh,RU,2022-01-20 22:46:17,70.6333,147.9167,-34.24,97,84,6.33
89,Florencia,IT,2022-01-20 22:46:17,43.7667,11.25,47.64,94,75,2.3
90,Saskylakh,RU,2022-01-20 22:46:18,71.9167,114.0833,-21.01,95,39,7.09
91,Muisne,EC,2022-01-20 22:46:18,0.6,-80.0333,80.71,83,99,11.14
92,Sukhobezvodnoye,RU,2022-01-20 22:46:18,57.0491,44.8891,14.18,85,99,11.48
93,Margate,GB,2022-01-20 22:46:19,51.3813,1.3862,38.7,76,77,8.01
94,Severo-Kurilsk,RU,2022-01-20 22:46:19,50.6789,156.125,29.48,86,100,22.39
95,Port-Cartier,CA,2022-01-20 22:46:19,50.0334,-66.8654,3.31,82,53,9.35
96,Srednekolymsk,RU,2022-01-20 22:46:19,67.45,153.6833,-40.63,99,40,5.82
97,Carnarvon,AU,2022-01-20 22:46:20,-24.8667,113.6333,69.87,88,0,0.0
98,Mar Del Plata,AR,2022-01-20 22:46:20,-38.0023,-57.5575,73.09,94,100,3.0
99,Shadrinsk,RU,2022-01-20 22:46:20,56.0852,63.6335,2.23,93,93,7.4
100,Gorontalo,ID,2022-01-20 22:46:20,0.5412,123.0595,75.51,94,100,4.0
101,Bengkulu,ID,2022-01-20 22:46:21,-3.8004,102.2655,74.77,87,100,3.89
102,General Roca,AR,2022-01-20 22:46:21,-39.0333,-67.5833,84.6,61,43,8.81
103,Seymchan,RU,2022-01-20 22:46:21,62.8833,152.4333,-45.72,100,78,0.81
104,Poum,NC,2022-01-20 22:46:22,-20.2333,164.0167,81.86,74,76,3.47
105,Kruisfontein,ZA,2022-01-20 22:46:22,-34.0033,24.7314,70.88,88,8,12.37
106,Socoltenango,MX,2022-01-20 22:46:22,16.2167,-92.25,75.63,32,3,1.57
107,Faratsiho,MG,2022-01-20 22:46:23,-19.4,46.95,56.8,97,100,4.47
108,Atuona,PF,2022-01-20 22:46:23,-9.8,-139.0333,78.96,76,52,22.93
109,Tual,ID,2022-01-20 22:46:23,-5.6667,132.75,83.43,77,100,17.85
110,Cockburn Town,TC,2022-01-20 22:46:23,21.4612,-71.1419,78.76,73,40,11.5
111,Redcliffe,AU,2022-01-20 22:46:25,-27.2307,153.0973,77.05,65,75,16.11
112,Sarangpur,IN,2022-01-20 22:46:25,23.5667,76.4667,59.04,76,12,6.15
113,Langenburg,DE,2022-01-20 22:46:25,49.2544,9.8458,32.85,83,100,11.5
114,Cidreira,BR,2022-01-20 22:46:26,-30.1811,-50.2056,77.58,92,5,13.29
115,Skjervoy,NO,2022-01-20 22:46:26,70.0311,20.9714,33.39,52,100,22.57
116,Zalantun,CN,2022-01-20 22:46:26,48.0,122.7167,-4.65,93,100,0.56
117,Pemangkat,ID,2022-01-20 22:46:26,1.1667,108.9667,75.31,90,100,5.01
